"user_id","most_search_june","category_june","most_search_july","category_july","Trending_Type","Previous"
"06021009",running man,Chương trình truyền hình thực tế,running man,Chương trình truyền hình thực tế,Unchanged,Unchanged
"0046174",why her?,Phim tâm lý,why her?,Phim tâm lý,Unchanged,Unchanged
"0557239",yêu tinh,Phim kinh dị,vẻ đẹp đích thực,Phim tình cảm,Changed,Phim kinh dị
"0126614",thiên nga bóng đêm,Phim,nhất kiến khuynh tâm,Phim cổ trang,Changed,Phim
"0031507",cô nàng trong trắng oh woo ri,Phim,nhất kiến khuynh tâm,Phim cổ trang,Changed,Phim
"0085729",cô nàng trong trắng oh woo ri,Phim,thiên nga bóng đêm,Phim,Unchanged,Unchanged
"0260217",yêu nhầm chị dâu,Phim tình cảm hài hước,kẻ trộm mặt trăng: minions,Phim hoạt hình (animation),Changed,Phim tình cảm hài hước
"06011331",fairy tail,Phim hoạt hình (anime),fairy tail,Phim hoạt hình (anime),Unchanged,Unchanged
"0092766",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"06031953",siêu nhân,Phim hành động,tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,Changed,Phim hành động
"0204068",mộng hoa lục,Phim,mộng hoa lục,Phim,Unchanged,Unchanged
"0434628",bắt ma phá án,Phim trinh thám,bắt ma phá án,Phim trinh thám,Unchanged,Unchanged
"0237892",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"0105572",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,Changed,Phim
"06007895",nhất kiến khuynh tâm,Phim cổ trang,yêu nhầm chị dâu,Phim tình cảm hài hước,Changed,Phim cổ trang
"06032173",sao băng,Phim tình cảm,sao băng,Phim tình cảm,Unchanged,Unchanged
"049637",mộng hoa lục,Phim,thiên nga bóng đêm,Phim,Unchanged,Unchanged
"0113093",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"0304143",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,vô tình nhặt được tổng tài,Phim tình cảm,Changed,Phim
"06025443",chàng hậu,Phim tình cảm hài hước,thiên nga bóng đêm,Phim,Changed,Phim tình cảm hài hước
"06016534",cảnh đẹp ngày vui biết bao giờ,Video về du lịch và cảnh đẹp,thiên nga bóng đêm,Phim,Changed,Video về du lịch và cảnh đẹp
"06009395",hội pháp sư,Phim phép thuật,hội pháp sư,Phim phép thuật,Unchanged,Unchanged
"0266110",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"06015969",nữ thanh tra tài ba,Phim,sao băng,Phim tình cảm,Changed,Phim
"06039284",fairy tail,Phim hoạt hình (anime),fairy tail,Phim hoạt hình (anime),Unchanged,Unchanged
"0135377",bắt ma phá án,Phim trinh thám,yêu tinh,Phim kinh dị,Changed,Phim trinh thám
"06061845",Tìm kiếm bằng giọng nói,Chương trình truyền hình thực tế,Tìm kiếm bằng giọng nói,Chương trình truyền hình thực tế,Unchanged,Unchanged
"06024521",fairy tail,Phim hoạt hình (anime),fairy tail,Phim hoạt hình (anime),Unchanged,Unchanged
"06009639",vẻ đẹp đích thực,Phim tình cảm,cuộc chiến thượng lưu,Phim hài,Changed,Phim tình cảm
"06009927",mộng hoa lục,Phim,thiên nga bóng đêm,Phim,Unchanged,Unchanged
"06077192",why her?,Phim tâm lý,sao băng,Phim tình cảm,Changed,Phim tâm lý
"06013850",Tìm kiếm bằng giọng nói,Chương trình truyền hình thực tế,Tìm kiếm bằng giọng nói,Chương trình truyền hình thực tế,Unchanged,Unchanged
"06025451",fairy tail,Phim hoạt hình (anime),fairy tail,Phim hoạt hình (anime),Unchanged,Unchanged
"06011535",tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,Unchanged,Unchanged
"06026257",vẻ đẹp đích thực,Phim tình cảm,vẻ đẹp đích thực,Phim tình cảm,Unchanged,Unchanged
"06436309",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"06025143",why her?,Phim tâm lý,bắt ma phá án,Phim trinh thám,Changed,Phim tâm lý
"0145671",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"06095522",nhất kiến khuynh tâm,Phim cổ trang,yêu nhầm chị dâu,Phim tình cảm hài hước,Changed,Phim cổ trang
"06040865",fairy tail,Phim hoạt hình (anime),fairy tail,Phim hoạt hình (anime),Unchanged,Unchanged
"06404622",why her?,Phim tâm lý,thiên nga bóng đêm,Phim,Changed,Phim tâm lý
"06043629",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"06807577",vô tình nhặt được tổng tài,Phim tình cảm,vẻ đẹp đích thực,Phim tình cảm,Unchanged,Unchanged
"06094001",vẻ đẹp đích thực,Phim tình cảm,vẻ đẹp đích thực,Phim tình cảm,Unchanged,Unchanged
